MAC_address,module_name,latitude,longitude,altitude,city,full_modules
70:ee:50:06:8f:36,['02:00:00:06:9d:c0'],28.294562,-26.196435,1640,Benoni,"['02:00:00:06:9d:c0', '06:00:00:00:f1:7c']"
70:ee:50:1b:2a:2a,['02:00:00:1b:0c:16'],28.153814,-26.166744,1630,no city,['02:00:00:1b:0c:16']
70:ee:50:17:d3:e0,['02:00:00:17:5e:00'],28.34119,-26.159239,1648,no city,"['02:00:00:17:5e:00', '06:00:00:02:1a:56']"
70:ee:50:6b:6c:26,['02:00:00:6b:2f:f6'],28.1611809,-26.1167921,1628,Sandton,['02:00:00:6b:2f:f6']
70:ee:50:6b:73:18,['02:00:00:6b:35:5e'],28.172861,-26.133254,1635,no city,['02:00:00:6b:35:5e']
70:ee:50:64:02:5a,['02:00:00:63:fc:0c'],28.1724725109534,-26.1299078197833,1639,no city,"['02:00:00:63:fc:0c', '05:00:00:03:5f:96']"
70:ee:50:7f:9e:64,['02:00:00:7f:8d:32'],28.157949,-26.113903,1614,Sandton,"['02:00:00:7f:8d:32', '06:00:00:05:8f:a8', '05:00:00:09:8f:dc']"
70:ee:50:83:f3:fc,['02:00:00:83:f5:42'],28.096155,-26.297132,1624,no city,['02:00:00:83:f5:42']
70:ee:50:05:e1:e6,['02:00:00:12:f7:8e'],28.005149,-26.172605,1710,Johannesburg,['02:00:00:12:f7:8e']
70:ee:50:65:11:fa,['02:00:00:65:31:0c'],28.015462,-26.165527,1635,Johannesburg,"['02:00:00:65:31:0c', '05:00:00:08:66:4a']"
70:ee:50:7a:70:f0,['02:00:00:7a:b0:02'],27.973379,-26.144389,1799,Johannesburg,"['02:00:00:7a:b0:02', '05:00:00:0a:71:ec']"
70:ee:50:13:55:0e,['02:00:00:13:84:3e'],27.99819,-26.142034,1610,Randburg,"['05:00:00:0b:31:1e', '06:00:00:01:68:9c', '02:00:00:13:84:3e']"
70:ee:50:01:6b:5e,['02:00:00:01:6c:74'],28.026142,-26.15097,1612,Rosebank,['02:00:00:01:6c:74']
70:ee:50:84:af:86,['02:00:00:90:77:b2'],28.01192,-26.138999,1569,Rosebank,"['02:00:00:90:77:b2', '05:00:00:0b:4e:cc', '06:00:00:06:ee:4e']"
70:ee:50:13:1f:88,['02:00:00:12:ff:be'],28.013596,-26.136999,1570,Rosebank,['02:00:00:12:ff:be']
70:ee:50:13:24:5e,['02:00:00:12:f5:c6'],28.0368962,-26.1542469,1664,Rosebank,['02:00:00:12:f5:c6']
70:ee:50:13:27:92,['02:00:00:12:fd:4c'],28.041001,-26.14491,1684,Rosebank,"['02:00:00:12:fd:4c', '05:00:00:09:be:7e']"
70:ee:50:00:2a:96,['02:00:00:00:2a:e8'],28.083744,-26.152228,1650,Johannesburg,"['02:00:00:00:2a:e8', '05:00:00:08:9d:60']"
70:ee:50:83:e2:5e,['02:00:00:83:f5:ea'],28.011291,-26.136633,1560,Rosebank,"['02:00:00:83:f5:ea', '05:00:00:09:6f:d2']"
70:ee:50:74:51:fa,['02:00:00:74:56:f4'],28.020481,-26.130728,1568,Rosebank,"['02:00:00:74:56:f4', '05:00:00:08:88:d0']"
70:ee:50:6b:68:d2,['02:00:00:6b:38:0e'],28.032749,-26.123611,1611,Rosebank,"['05:00:00:0b:30:44', '02:00:00:6b:38:0e']"
70:ee:50:05:e0:82,['02:00:00:05:3f:c8'],28.046704,-26.128136,1680,Rosebank,['02:00:00:05:3f:c8']
70:ee:50:1e:20:06,['02:00:00:1e:04:78'],27.850932,-26.113836,1692,Roodepoort,"['02:00:00:1e:04:78', '05:00:00:02:82:f4']"
70:ee:50:6b:67:e6,['02:00:00:6b:39:a4'],27.908578,-26.10009,1604,Roodepoort,"['02:00:00:6b:39:a4', '05:00:00:09:8a:72']"
70:ee:50:64:f5:26,['02:00:00:65:25:28'],27.998359,-26.114498,1625,Johannesburg,"['02:00:00:65:25:28', '05:00:00:08:1f:a4']"
70:ee:50:74:20:a4,['02:00:00:74:26:58'],28.007936,-26.112913,1585,Johannesburg,"['02:00:00:74:26:58', '05:00:00:08:bd:54']"
70:ee:50:22:e6:74,['02:00:00:22:d5:02'],28.0285275065147,-26.1122171822153,1582,Johannesburg,"['02:00:00:22:d5:02', '05:00:00:04:0c:8e']"
70:ee:50:37:10:9c,['02:00:00:3a:3b:e8'],27.930805,-26.088089,1602,Randburg,"['02:00:00:3a:3b:e8', '05:00:00:04:ec:9e']"
70:ee:50:83:e9:74,['02:00:00:84:08:58'],28.021261,-26.089687,1534,Sandton,"['02:00:00:84:08:58', '05:00:00:09:7f:c0']"
70:ee:50:02:67:9a,['02:00:00:02:67:b0'],28.04894,-26.080983,1560,Sandton,"['02:00:00:02:67:b0', '06:00:00:00:b6:aa', '05:00:00:00:ab:22']"
70:ee:50:06:ae:be,['02:00:00:05:cd:bc'],27.936971783638,-26.0671436518927,1563,Roodepoort,['02:00:00:05:cd:bc']
70:ee:50:13:27:56,['02:00:00:12:f6:d4'],28.015363,-26.067284,1541,Randburg,"['02:00:00:12:f6:d4', '05:00:00:09:be:6c']"
